Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 3,M340d xDrive Touring,988 000 Kč,10/2021,133732km,neuvedeno,neuvedeno,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá metalíza,Za Kličovem 1 Praha 9 19000
BMW iX1,xDrive30,989 000 Kč,10/2023,37800km,neuvedeno,neuvedeno,225 kW / 306 PS,neuvedeno,elektro,aut. převodovka,SUV,5 dveří,5 míst,zelená metalíza,Okruzni 49 Ceske Budejovice 37001
BMW Řada 2,řady 2 | 223i,979 000 Kč,11/2023,14699km,neuvedeno,Velmi dobrý,160 kW / 218 PS,1 998 cm³,benzin,neuvedeno,MPV,5 dveří,5 míst,šedá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW Řada 6,640i Convertible,979 000 Kč,2014,24000km,neuvedeno,Velmi dobrý,235 kW / 320 PS,2 979 cm³,benzin,aut. převodovka,kabriolet,3 dveře,5 míst,šedá metalíza,Tovární 1b Olomouc 77900
BMW Řada 2,218i Active Tourer,989 000 Kč,9/2023,19217km,neuvedeno,Perfektní,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,MPV,5 dveří,5 míst,černá,Řípská 5c Brno - Slatina 62700
BMW Řada 5,530e xDrive Kamera Tažné,979 000 Kč,2/2022,39790km,neuvedeno,neuvedeno,215 kW / 292 PS,1 998 cm³,hybridní - benzin,aut. převodovka,kombi,5 dveří,5 míst,bílá,Holečkova 657/29 Praha 15000
BMW X1,M18i M-SPORT 1.MAJ ČR ZÁRUKA,978 000 Kč,2024,9800km,10/2027,Perfektní,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,"Frýdecká 738/318, 719 00 Slezská Ostrava 71900"
BMW Řada 1,Hatchback,979 000 Kč,7/2024,1km,neuvedeno,Nové vozidlo,125 kW / 170 PS,1 499 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,šedá,Řípská 5c Brno - Slatina 62700
BMW Řada 3,320xd M-Perfomance,973 000 Kč,2023,59900km,10/2027,Perfektní,140 kW / 190 PS,1 968 cm³,nafta,aut. převodovka,kombi,neuvedeno,5 míst,černá metalíza,Plynárenská 3/A Bratislava 82109
BMW X1,sDrive18i,987 000 Kč,5/2023,22444km,neuvedeno,Velmi dobrý,100 kW / 136 PS,1 499 cm³,benzin,neuvedeno,SUV,5 dveří,5 míst,černá metalíza,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500
BMW Řada 2,M235i Keyless Kamera LED Matri,979 000 Kč,10/2022,41600km,neuvedeno,neuvedeno,225 kW / 306 PS,1 998 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,modrá,Holečkova 657/29 Praha 15000
BMW Řada 2,218i Active Tourer,979 000 Kč,8/2023,13820km,neuvedeno,Perfektní,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,MPV,5 dveří,5 míst,šedá,Řípská 5c Brno - Slatina 62700
BMW X3,"2,0 30i Xdrive AUT 185kW, DPH",985 000 Kč,10/2020,23032km,10/2026,neuvedeno,185 kW / 252 PS,1 998 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,U Okruhu 587 Vestec 25250
BMW M5,M5*e60*Top stav*R19,979 000 Kč,2006,105300km,8/2026,Perfektní,373 kW / 507 PS,4 999 cm³,benzin,aut. převodovka,limuzína,4 dveře,5 míst,tmavě šedá metalíza,T.G. Masaryka 1147 Litomyšl 57001
BMW Řada 1,120d,979 000 Kč,2024,10000km,neuvedeno,Perfektní,120 kW / 163 PS,1 995 cm³,nafta,aut. převodovka,hatchback,5 dveří,5 míst,bílá,Vítkovická 3246/1A Ostrava-Moravská Ostrava 70200
BMW X1,sDrive18i,975 000 Kč,2025,neuvedeno,neuvedeno,Nové vozidlo,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,černá,Vítkovická 3246/1A Ostrava-Moravská Ostrava 70200
BMW Řada 5,"530d xDrive Mpaket, ČR,DPH",979 990 Kč,2021,74000km,1/2027,Perfektní,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,modrá metalíza,Křižíkova 2411 Benešov 25601
BMW Řada 3,M340d Laser*2x KOLA*H/K*CZ*DPH,989 000 Kč,2020,129000km,neuvedeno,Perfektní,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,sedan,5 dveří,5 míst,černá metalíza,Výpadová 1676/4a Praha - Radotín 15900
BMW Řada 2,218d Active Tourer,975 000 Kč,2023,9500km,neuvedeno,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,MPV,5 dveří,5 míst,stříbrná metalíza,Obchodní 622 Liberec 11 46001
BMW X3,"2.0d, 140 kW, PANORAMA",989 900 Kč,6/2021,79412km,neuvedeno,Perfektní,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Palackého třída 155 Brno-Královo Pole 61200
BMW X3,"2.0d xDrive 20d, 1.maj,ČR, M",980 000 Kč,2021,37956km,6/2025,neuvedeno,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,K Učilišti 170 Praha 10-Štěrboholy 10200
